"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","B","y"
"32","WaspsNew","M10B",TRUE,"configuralCuesWynne95",0.633360772929216,FALSE,-4.16361518693407,1.02121156179336,-0.176738025082464
"33","WaspsNew","M11",TRUE,"configuralCuesWynne95",0.63336071902051,FALSE,-4.16361390868629,1.02119504439505,-0.176741310644252
"34","WaspsNew","M24",TRUE,"configuralCuesWynne95",0.65518089969685,FALSE,-3.75381227145836,1.33767849873916,1.63153604526645
"35","WaspsNew","M32A",TRUE,"configuralCuesWynne95",0.655180295948982,FALSE,-3.75373260113025,1.33771384847194,1.63152617929359
"36","WaspsNew","M32C",TRUE,"configuralCuesWynne95",0.65518089969685,FALSE,-3.75381227145836,1.33767849873916,1.63153604526645
"37","WaspsNew","M4",TRUE,"configuralCuesWynne95",0.65518089969685,FALSE,-3.75381227145836,1.33767849873916,1.63153604526645
"38","WaspsNew","M6",TRUE,"configuralCuesWynne95",0.705113687526589,FALSE,-4.01448516790575,1.1520520362058,1.05963584996717
"39","WaspsNew","M7",TRUE,"configuralCuesWynne95",0.633360772929216,FALSE,-4.16361518693407,1.02121156179336,-0.176738025082464
"40","WaspsNew","M9",TRUE,"configuralCuesWynne95",0.633360963396747,FALSE,-4.16361971144349,1.02126831679107,-0.176786454116573
"41","RGMDL3","1",TRUE,"configuralCuesWynne95",0.625237682425374,FALSE,3.97061367241762,0.111239486926603,2.81823696900678
"42","RGMDL3","2",TRUE,"configuralCuesWynne95",0.781456666851027,FALSE,5.54545903651236,0.273840463379322,3.49705932535822
"43","RGMDL3","3",TRUE,"configuralCuesWynne95",0.623431129705942,FALSE,3.52934569798937,0.017450118906742,2.83585306928578
"44","RGMDL3","4",TRUE,"configuralCuesWynne95",0.7134466824176,FALSE,4.84706349733441,0.011376691550683,3.14736660927046
"45","Camarena","1",TRUE,"configuralCuesWynne95",0.767703103815049,FALSE,5.72221230063585,0.120915497103699,3.0949866940999
"46","Camarena","4",TRUE,"configuralCuesWynne95",0.735041717925669,FALSE,5.5049809939005,0.45110271827777,3.20501535203488
"47","RGMDL2","1",TRUE,"configuralCuesWynne95",0.817925346550265,FALSE,4.52796056451595,0.233382106349642,3.14189479549305
