"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","bMinus","bPlus","e"
"71","Camarena","9",TRUE,"SiemannDelius",0.713660776650467,FALSE,1.44079643835082,1.67027786573415,0.240733740575785
"72","HumScrm","21",TRUE,"SiemannDelius",0.543146169494553,FALSE,1.50526131539695,1.41588239113808,0.498663475672682
"73","RGMDL3","4",TRUE,"SiemannDelius",0.727456088870172,FALSE,0.055941778175458,0.10629404044402,0.430990684476026
"74","RGMDL2","2",TRUE,"SiemannDelius",0.863640575525984,FALSE,0.443862796344396,2.49897470279784,0.50104690384257
"75","HumScrm","22",TRUE,"SiemannDelius",0.644568188850043,FALSE,1.76209960514843,1.62071799986217,0.559570621776047
"76","HumScrm","23",TRUE,"SiemannDelius",0.687391009776023,FALSE,0.656280955876867,0.296191835253055,0.444607311766581
"77","HumScrm","24",TRUE,"SiemannDelius",0.686916363579081,FALSE,1.33542478707774,0.335084355486875,0.384415234209684
"78","HumScrm","25",TRUE,"SiemannDelius",0.642435805934092,FALSE,0.459275557381705,0.332860039336102,0.381831566536817
"79","Camarena","10",TRUE,"SiemannDelius",0.747496423462089,FALSE,2.44977510930028,1.21144525212569,2.69221807745573
"80","HumScrm","26",TRUE,"SiemannDelius",0.582018471323143,FALSE,1.0862822624951,1.06205776679568,1.70598740700423
"81","HumScrm","27",TRUE,"SiemannDelius",0.683232627877964,FALSE,0.621756464154589,0.366810923594791,0.327611541772049
"82","HumScrm","28",TRUE,"SiemannDelius",0.708329019586558,FALSE,0.77345725337639,0.431058218316487,0.319420313165808
"83","Camarena","11",TRUE,"SiemannDelius",0.733293804710775,FALSE,0.388048706085039,1.53403311422966,0.279073191018843
"84","HumScrm","29",TRUE,"SiemannDelius",0.712970966899801,FALSE,1.2487970207515,0.463000725957804,0.208559885008401
"85","HumScrm","30",TRUE,"SiemannDelius",0.685327612979016,FALSE,0.595172482616694,0.34280397203601,0.393094372190722
"86","HumScrm","31",TRUE,"SiemannDelius",0.685586861936911,FALSE,0.749350132562654,0.346179261497962,0.316977278466251
"87","HumScrm","32",TRUE,"SiemannDelius",0.671394825243407,FALSE,0.46773745288996,0.376312009404747,0.358770553304706
"88","RGMDL2","3",TRUE,"SiemannDelius",0.831936748789991,FALSE,1.44442788087364,1.31149911546554,0.464923229736719
