"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","B"
"126","HumScrm","46",TRUE,"RescorlaWagnerWynne95",0.533179789983196,FALSE,1.4344192954848,1.64800919701054
"127","HumScrm","47",TRUE,"RescorlaWagnerWynne95",0.617961486228419,FALSE,2.66085262068576,0.057853536713559
"128","HumScrm","48",TRUE,"RescorlaWagnerWynne95",0.554018028816814,FALSE,2.34778104333182,0.970882559617952
"129","HumScrm","49",TRUE,"RescorlaWagnerWynne95",0.512498865053283,FALSE,-0.556077213166497,-0.246560787049561
"130","HumScrm","50",TRUE,"RescorlaWagnerWynne95",0.627237806206378,FALSE,2.40965526629018,0.072314246741485
"131","HumScrm","51",TRUE,"RescorlaWagnerWynne95",0.595426491501053,FALSE,2.07281561674318,0.048818215279265
"132","HumScrm","52",TRUE,"RescorlaWagnerWynne95",0.58082396333154,FALSE,3.51234936705375,0.043368452882342
"133","HumScrm","53",TRUE,"RescorlaWagnerWynne95",0.598317818994322,FALSE,2.19451627655877,0.068217154061681
"134","HumScrm","54",TRUE,"RescorlaWagnerWynne95",0.550065829395104,FALSE,5.6085240894814,2.45446896116333
"135","HumScrm","55",TRUE,"RescorlaWagnerWynne95",0.572384985923672,FALSE,2.06673703883656,0.081635978647536
"136","HumScrm","56",TRUE,"RescorlaWagnerWynne95",0.518595803444342,FALSE,0.430559465300533,1.61421902233009
"137","HumScrm","57",TRUE,"RescorlaWagnerWynne95",0.613252791191139,FALSE,4.5894812799957,0.053894210701998
"138","HumScrm","58",TRUE,"RescorlaWagnerWynne95",0.635589963960667,FALSE,4.53804923083138,0.06278047356965
"139","HumScrm","59",TRUE,"RescorlaWagnerWynne95",0.584398803550719,FALSE,3.52640900925488,0.057826458281519
"140","HumScrm","60",TRUE,"RescorlaWagnerWynne95",0.544027062826566,FALSE,2.7816269871254,0.942989892283164
"141","HumScrm","61",TRUE,"RescorlaWagnerWynne95",0.63773516872882,FALSE,-0.24374920552308,-0.005052687410992
"142","HumScrm","62",TRUE,"RescorlaWagnerWynne95",0.584423217977379,FALSE,2.60450983784184,0.050275443828711
"143","HumScrm","63",TRUE,"RescorlaWagnerWynne95",0.63773516872882,FALSE,-0.24374920552308,-0.005052687410992
"144","HumScrm","64",TRUE,"RescorlaWagnerWynne95",0.627237806206378,FALSE,2.40965526629018,0.072314246741485
"145","HumScrm","65",TRUE,"RescorlaWagnerWynne95",0.60937517451218,FALSE,2.15066119257202,0.05126929100556
"146","HumScrm","66",TRUE,"RescorlaWagnerWynne95",0.631355877193097,FALSE,2.92654837745651,0.060211424436796
"147","HumScrm","67",TRUE,"RescorlaWagnerWynne95",0.615364017068905,FALSE,3.48802313354264,0.069331069458668
"148","HumScrm","68",TRUE,"RescorlaWagnerWynne95",0.622731969365258,FALSE,2.54966889014098,0.994608827328465
"149","HumScrm","69",TRUE,"RescorlaWagnerWynne95",0.569883712562205,FALSE,2.96266689044524,0.087759999275409
"150","HumScrm","70",TRUE,"RescorlaWagnerWynne95",0.630724477410366,FALSE,2.63467065893402,0.086291000870821
"151","HumScrm","71",TRUE,"RescorlaWagnerWynne95",0.587514826238087,FALSE,1.88242508612383,0.076337634344412
"152","HumScrm","72",TRUE,"RescorlaWagnerWynne95",0.634167301873449,FALSE,4.95614689317467,0.695363640626675
"153","HumScrm","73",TRUE,"RescorlaWagnerWynne95",0.648400697673665,FALSE,4.58570369898442,0.06687847236073
"154","HumScrm","74",TRUE,"RescorlaWagnerWynne95",0.501031328593774,FALSE,0.444477959649725,0.001533671169669
"155","HumScrm","75",TRUE,"RescorlaWagnerWynne95",0.609526433624017,FALSE,3.51845917064843,0.052727977649443
"156","HumScrm","76",TRUE,"RescorlaWagnerWynne95",0.516816004809555,FALSE,-0.365780798221656,2.09909573267302
"157","HumScrm","77",TRUE,"RescorlaWagnerWynne95",0.615990578565018,FALSE,2.48178924760082,0.074272430112846
"158","RGMDL1","1",TRUE,"RescorlaWagnerWynne95",0.535914806267435,FALSE,2.08795708464143,0.000544547148585
"159","RGMDL1","2",TRUE,"RescorlaWagnerWynne95",0.550726716212468,FALSE,1.91764847576334,0.011473255917488
"160","RGMDL1","3",TRUE,"RescorlaWagnerWynne95",0.527042535881903,FALSE,2.03351912899627,0.018616962844391
"161","RGMDL1","4",TRUE,"RescorlaWagnerWynne95",0.551196406564288,FALSE,1.72852040118772,0.002851326811325
