"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b","t"
"80","FHL","3",TRUE,"VTTBS",0.504230498144032,FALSE,0.406022303513247,1.81764571359811,0.004436471146247
"81","HumScrm","1",TRUE,"VTTBS",0.584799538246472,FALSE,0.851329885938963,2.74161410046118,0.002740978146751
"82","HumScrm","2",TRUE,"VTTBS",0.578898234371049,FALSE,1.68975822012287,0.534629956039196,0.635832888645357
"83","HumScrm","3",TRUE,"VTTBS",0.525786894909085,FALSE,0.588440086216799,1.77037886999882,0.151242030892467
"84","HumScrm","4",TRUE,"VTTBS",0.566003660979828,FALSE,0.725637460974608,2.48485886875617,-0.246563948446826
"85","HumScrm","5",TRUE,"VTTBS",0.538398839466342,FALSE,1.01624244817154,1.4711581483909,0.42783801368191
"86","HumScrm","6",TRUE,"VTTBS",0.584389891436986,FALSE,1.36979049203015,0.252514364269078,0.456423521373897
"87","HumScrm","7",TRUE,"VTTBS",0.533285982681012,FALSE,1.52223559593715,1.48479649112066,0.477724869598244
"88","HumScrm","8",TRUE,"VTTBS",0.556174114877668,FALSE,0.566402239888325,3.91208870590022,-0.700775951037034
"89","HumScrm","9",TRUE,"VTTBS",0.554031161136719,FALSE,0.948307304053655,1.57540657732517,-0.137018549325874
"90","HumScrm","10",TRUE,"VTTBS",0.54129490054715,FALSE,0.911161117191273,-2.21289040824087,0.943395293705035
"91","HumScrm","11",TRUE,"VTTBS",0.538623301129584,FALSE,0.937128142820167,1.53980093649153,-0.312869903725188
"92","HumScrm","12",TRUE,"VTTBS",0.507896912846533,FALSE,1.34596706536319,1.62167676125794,0.301122054619568
"93","HumScrm","13",TRUE,"VTTBS",0.531245973602305,FALSE,2.74500211455059,1.65622419707606,-1.24965238465832
"94","HumScrm","14",TRUE,"VTTBS",0.570144556399959,FALSE,1.84946217557902,1.4708749818438,0.774410702093339
"95","HumScrm","15",TRUE,"VTTBS",0.546912818150221,FALSE,0.931426355871449,1.58596534943541,0.572600227253043
"96","HumScrm","16",TRUE,"VTTBS",0.566487415737957,FALSE,1.352729956773,1.45016002441341,0.488285859739786
"97","HumScrm","17",TRUE,"VTTBS",0.551470513633534,FALSE,1.63307631272749,0.429125370105503,0.78305979393793
"98","HumScrm","18",TRUE,"VTTBS",0.540826432819485,FALSE,1.59951887376575,1.77097593424528,1.50702470128909
"99","HumScrm","19",TRUE,"VTTBS",0.556244892739772,FALSE,3.20392809782277,1.86894886789872,1.06991531812704
"100","HumScrm","20",TRUE,"VTTBS",0.557787696021726,FALSE,2.30586879845402,2.19440193757,1.42981929550716
"101","HumScrm","21",TRUE,"VTTBS",0.571785854058038,FALSE,1.46506000208185,0.373250930032226,0.628149151649898
"102","HumScrm","22",TRUE,"VTTBS",0.530160378311337,FALSE,1.49712946152147,1.46742823486004,0.438245221848749
"103","HumScrm","23",TRUE,"VTTBS",0.529514096561354,FALSE,1.47850246087725,0.542762803437481,0.550911795822119
"104","HumScrm","24",TRUE,"VTTBS",0.557722792158577,FALSE,0.659843245383141,1.88436482043833,-0.21960130985717
"105","HumScrm","25",TRUE,"VTTBS",0.543438587737676,FALSE,1.50421083634991,1.78523979016722,1.49265838364584
"106","HumScrm","26",TRUE,"VTTBS",0.601567788349967,FALSE,-1.43568898144855,1.01403145562943,1.78001944414473
