source,species,id,onlyTrainingOptimization,model,performance,adaptModelInTesting,parameter1,value1,parameter2,value2,parameter3,value3
HumScrm,humans,60,False,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,57,True,CorrectReply,0.51875,False,a ,0,,,,
HumScrm,humans,61,False,CorrectReply,0.7125,False,a ,0,,,,
HumScrm,humans,58,True,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,62,False,CorrectReply,0.55625,False,a ,0,,,,
HumScrm,humans,59,True,CorrectReply,0.490625,False,a ,0,,,,
HumScrm,humans,63,False,CorrectReply,0.7125,False,a ,0,,,,
HumScrm,humans,64,False,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,60,True,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,65,False,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,61,True,CorrectReply,0.7125,False,a ,0,,,,
HumScrm,humans,66,False,CorrectReply,0.495,False,a ,0,,,,
HumScrm,humans,62,True,CorrectReply,0.55625,False,a ,0,,,,
HumScrm,humans,67,False,CorrectReply,0.5125,False,a ,0,,,,
RGMDL1,macaques,4,False,CorrectReply,0.744823848238482,False,a ,0,,,,
HumScrm,humans,63,True,CorrectReply,0.7125,False,a ,0,,,,
HumScrm,humans,68,False,CorrectReply,0.5375,False,a ,0,,,,
HumScrm,humans,64,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,69,False,CorrectReply,0.546875,False,a ,0,,,,
HumScrm,humans,65,True,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,70,False,CorrectReply,0.490625,False,a ,0,,,,
HumScrm,humans,66,True,CorrectReply,0.496875,False,a ,0,,,,
HumScrm,humans,71,False,CorrectReply,0.521875,False,a ,0,,,,
HumScrm,humans,67,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,72,False,CorrectReply,0.5175,False,a ,0,,,,
HumScrm,humans,68,True,CorrectReply,0.5375,False,a ,0,,,,
HumScrm,humans,73,False,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,69,True,CorrectReply,0.546875,False,a ,0,,,,
HumScrm,humans,74,False,CorrectReply,0.571875,False,a ,0,,,,
HumScrm,humans,70,True,CorrectReply,0.490625,False,a ,0,,,,
HumScrm,humans,75,False,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,71,True,CorrectReply,0.521875,False,a ,0,,,,
HumScrm,humans,76,False,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,72,True,CorrectReply,0.515625,False,a ,0,,,,
HumScrm,humans,77,False,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,73,True,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,74,True,CorrectReply,0.571875,False,a ,0,,,,
HumScrm,humans,75,True,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,76,True,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,77,True,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,1,False,RLELO_F,0.881200633284285,False,a ,2.03187310994275, b ,2.89147352470149, s ,-0.127587704936822
HumScrm,humans,1,True,RLELO_F,0.881200633284285,False,a ,2.03187310994275, b ,2.89147352470149, s ,-0.127587704936822
HumScrm,humans,2,False,RLELO_F,0.668782793474501,False,a ,1.49653140564518, b ,0.845016702222241, s ,0.474378104573285
HumScrm,humans,2,True,RLELO_F,0.668782793474501,False,a ,1.49653140564518, b ,0.845016702222241, s ,0.474378104573285
HumScrm,humans,3,False,RLELO_F,0.762376777581974,False,a ,2.65561568733376, b ,2.06120868516198, s ,0.028265697208239
HumScrm,humans,3,True,RLELO_F,0.762376777581974,False,a ,2.65561568733376, b ,2.06120868516198, s ,0.028265697208239
HumScrm,humans,4,False,RLELO_F,0.871458683405182,False,a ,2.31143428714271, b ,1.75498160130201, s ,-0.140173106171827
HumScrm,humans,4,True,RLELO_F,0.871458683405182,False,a ,2.31143428714271, b ,1.75498160130201, s ,-0.140173106171827
Camarena,pigeons,1,False,RLELO_F,0.779603809163474,False,a ,1.7329028335569, b ,1.33464999979433, s ,0.365497041093053
HumScrm,humans,5,False,RLELO_F,0.766088494835863,False,a ,2.83521190110466, b ,2.40586952527275, s ,-0.077539355889735
HumScrm,humans,5,True,RLELO_F,0.774868419304047,False,a ,2.26479881861131, b ,1.9631059190708, s ,0.047522689985092
HumScrm,humans,6,True,RLELO_F,0.88506243041404,False,a ,2.59101476477956, b ,1.90317469568304, s ,0.062494141929991
HumScrm,humans,6,False,RLELO_F,0.88506243041404,False,a ,2.59101476477956, b ,1.90317469568304, s ,0.062494141929991
HumScrm,humans,7,True,RLELO_F,0.861020604961515,False,a ,3.09139153123667, b ,2.31334261385885, s ,-0.204795396478623
HumScrm,humans,7,False,RLELO_F,0.861020604961515,False,a ,3.09139153123667, b ,2.31334261385885, s ,-0.204795396478623
HumScrm,humans,8,True,RLELO_F,0.868306031347186,False,a ,3.58591955286552, b ,2.18465274868702, s ,-0.120650570674414
HumScrm,humans,8,False,RLELO_F,0.868306031347186,False,a ,3.58591955286552, b ,2.18465274868702, s ,-0.120650570674414
Camarena,pigeons,4,False,RLELO_F,0.759842227812662,False,a ,1.52265301935094, b ,0.55512294568585, s ,0.518829539909434
RGMDL3,macaques,1,True,RLELO_F,0.634725624261019,False,a ,1.52744941904052, b ,1.81088697599348, s ,0.015605699949498
HumScrm,humans,9,True,RLELO_F,0.860824615616621,False,a ,1.81372807969185, b ,1.75842098585911, s ,-0.133534245041592
HumScrm,humans,9,False,RLELO_F,0.860824615616621,False,a ,1.81372807969185, b ,1.75842098585911, s ,-0.133534245041592
FHL,macaques,1,False,RLELO_F,0.663313444460482,False,a ,1.5, b ,0.5, s ,0.5
RGMDL3,macaques,1,False,RLELO_F,0.69476530711785,False,a ,1.72232732664364, b ,1.57466238340661, s ,0.03895682409418
HumScrm,humans,10,True,RLELO_F,0.82615734078993,False,a ,2.7984640439548, b ,1.81449562206407, s ,-0.111463045306113
HumScrm,humans,10,False,RLELO_F,0.82615734078993,False,a ,2.7984640439548, b ,1.81449562206407, s ,-0.111463045306113
HumScrm,humans,11,True,RLELO_F,0.550721030479834,False,a ,0.498239908004427, b ,1.50199681524592, s ,0.562443292714596
HumScrm,humans,11,False,RLELO_F,0.550721030479834,False,a ,0.498239908004427, b ,1.50199681524592, s ,0.562443292714596
HumScrm,humans,12,True,RLELO_F,0.908934689988419,False,a ,2.44971692179636, b ,1.64090301964258, s ,0.105855214763653
HumScrm,humans,12,False,RLELO_F,0.908934689988419,False,a ,2.44971692179636, b ,1.64090301964258, s ,0.105855214763653
Camarena,pigeons,5,False,RLELO_F,0.715398547855617,False,a ,1.02288667760491, b ,1.4383013964259, s ,0.242137847714945
HumScrm,humans,13,True,RLELO_F,0.938246628888783,False,a ,1.97436663848486, b ,2.09539969409641, s ,-0.194964385103636
HumScrm,humans,13,False,RLELO_F,0.938246628888783,False,a ,1.97436663848486, b ,2.09539969409641, s ,-0.194964385103636
HumScrm,humans,14,True,RLELO_F,0.901885893151616,False,a ,3.37280912569237, b ,2.03171818776339, s ,0.084705019750798
HumScrm,humans,14,False,RLELO_F,0.901885893151616,False,a ,3.37280912569237, b ,2.03171818776339, s ,0.084705019750798
HumScrm,humans,15,True,RLELO_F,0.804995118973092,False,a ,1.79517874521589, b ,2.33331879330604, s ,0.137388157434754
HumScrm,humans,15,False,RLELO_F,0.804995118973092,False,a ,1.79517874521589, b ,2.33331879330604, s ,0.137388157434754
HumScrm,humans,16,True,RLELO_F,0.854464438524558,False,a ,2.62227296882842, b ,2.1872407433156, s ,-0.063375392320117
HumScrm,humans,16,False,RLELO_F,0.854464438524558,False,a ,2.62227296882842, b ,2.1872407433156, s ,-0.063375392320117
HumScrm,humans,17,True,RLELO_F,0.77841112110858,False,a ,2.41033719472531, b ,3.27714870632489, s ,0.075389939103765
HumScrm,humans,17,False,RLELO_F,0.77841112110858,False,a ,2.41033719472531, b ,3.27714870632489, s ,0.075389939103765
RGMDL3,macaques,2,True,RLELO_F,0.7868022276751,False,a ,2.47630107506351, b ,1.57992330408097, s ,-0.000445373454575
Camarena,pigeons,6,False,RLELO_F,0.795801532813081,False,a ,1.21404407281057, b ,1.67241436925088, s ,0.104003973042101
HumScrm,humans,18,True,RLELO_F,0.508122378127933,False,a ,1.63920950504078, b ,0.444576168671934, s ,1.6168245075631
HumScrm,humans,18,False,RLELO_F,0.508122378127933,False,a ,1.63920950504078, b ,0.444576168671934, s ,1.6168245075631
RGMDL2,macaques,1,False,RLELO_F,0.873913331859453,False,a ,2.39965909299865, b ,1.24516171640595, s ,-0.055690341690705
HumScrm,humans,19,True,RLELO_F,0.507551178365221,False,a ,1.24205810600138, b ,2.01121659667863, s ,-1.80620603770216
RGMDL3,macaques,2,False,RLELO_F,0.812588001314426,False,a ,2.54490243302413, b ,1.13740329029348, s ,0.010179444382748
HumScrm,humans,19,False,RLELO_F,0.507551178365221,False,a ,1.24205810600138, b ,2.01121659667863, s ,-1.80620603770216
HumScrm,humans,20,True,RLELO_F,0.81453866509331,False,a ,2.2001253042909, b ,1.62558939929494, s ,-0.169420308344823
HumScrm,humans,20,False,RLELO_F,0.81453866509331,False,a ,2.2001253042909, b ,1.62558939929494, s ,-0.169420308344823
HumScrm,humans,21,True,RLELO_F,0.521745229333818,False,a ,0.504134174881301, b ,1.62493161568655, s ,0.5
HumScrm,humans,21,False,RLELO_F,0.521745229333818,False,a ,0.504134174881301, b ,1.62493161568655, s ,0.5
HumScrm,humans,22,True,RLELO_F,0.550958840495215,False,a ,1.5, b ,0.5, s ,0.5
HumScrm,humans,22,False,RLELO_F,0.550958840495215,False,a ,1.5, b ,0.5, s ,0.5
HumScrm,humans,23,True,RLELO_F,0.899542614135528,False,a ,3.55237456975387, b ,2.7116591510176, s ,0.151643648485038
Camarena,pigeons,7,False,RLELO_F,0.840843947944387,False,a ,1.5, b ,0.5, s ,1.5
FHL,macaques,2,False,RLELO_F,0.733422649937769,False,a ,2.2256640140405, b ,1.88763103217403, s ,-0.014354341094266
HumScrm,humans,23,False,RLELO_F,0.899542614135528,False,a ,3.55237456975387, b ,2.7116591510176, s ,0.151643648485038
HumScrm,humans,24,True,RLELO_F,0.779771143229607,False,a ,1.90459625328157, b ,1.75032312291508, s ,-0.380594046167048
HumScrm,humans,24,False,RLELO_F,0.779771143229607,False,a ,1.90459625328157, b ,1.75032312291508, s ,-0.380594046167048
